Baseline determination

355 iteration on 1min --> 21300 = baseline

#iterations: 11434

probability          #iterations(fault)        percentage           probability (relative requency) = 1 / probability

1                     0                         0                     1

2                     4140                      19.44                 0.5

3                     13920                     65.35                 0.33

4                     4380                      20.56                 0.25

5                     14220                     66.76                 0.2

6                     14160                     66.48                 0.17

7                     15300                     71.83                 0.14

8                     4260                      20                    0.125

9                     14640                     68.73                 0.11

10                    15540                     72.96                 0.1

20                    15780                     74.08                 0.05

50                    18300                     85.91                 0.02

100                   19560                     91.83                 0.01
